2023-07-07 16:10:35|562.04|lefta stamati
2023-07-11 16:10:35|498.00|agores
2023-07-13 16:10:15|598.00|katathesi
2023-07-21 16:10:35|547.00|agores
2023-07-24 16:10:35|546.00|kastoria
2023-07-27 16:10:35|353.00|kastoria
2023-07-31 16:10:35|413.00|doro orkomosias
2023-08-01 16:10:35|396.00|agores
2023-08-10 16:10:35|341.00|agores-diaskedasi
2023-08-10 16:10:35|325.00|makrigialos
2023-08-16 16:10:35|189.00|sithonia-diakopes
2023-08-16 18:10:35|260.00|panos-xrostoumena
2023-08-18 10:49:04|255.00|kafes-pagoto
2023-08-18 10:49:15|386.00|revolut-money
2023-08-21 12:59:41|470.85|Revolut-Paypal
2023-08-21 13:00:08|445.85|Olympos
2023-08-21 13:01:00|435.85|cinema-pizza
2023-08-21 13:05:10|432.85|patini
2023-08-21 13:05:48|412.85|doro-panagiotas
2023-08-21 13:06:48|404.93|diafora exoda
2023-08-23 11:42:53|402.33|sokolata
2023-08-31 18:03:04|222.33|Nafplio
2023-09-05 18:03:16|187.33|diafora
2023-09-19 07:01:43|314.33|meltis
2023-09-19 07:02:26|187.33|diafora exoda
2023-09-25 07:02:26|129.33|epistrofi xreous panou-panagiotas
2023-09-26 07:02:26|127.33|kafes
2023-09-26 07:02:26|121.33|kapotasto
2023-09-29 06:27:40|117.83|krepa
2023-09-29 06:27:50|112.83|tsipouro_spiti
2023-09-29 06:27:56|107.83|frozen
2023-09-29 06:28:07|105.83|kafes
2023-09-29 06:29:55|105.03|cinamon
2023-09-29 06:35:41|99.03|burger
2023-09-30 06:35:21|76.03|savvato
2023-10-03 06:36:12|72.03|kafedes
2023-10-03 06:36:40|69.53|pitsa
2023-10-03 06:37:23|59.53|en karpo
2023-10-03 06:37:52|57.53|tiropsomo
2023-10-03 06:38:48|53.53|netflix
2023-10-03 06:39:06|49.53|diafora
2023-10-04 06:41:16|47.83|kafes
2023-10-05 06:32:52|40.83|burger
2023-10-05 06:33:00|36.83|kafes
2023-10-05 06:33:08|32.83|kleidaria
2023-10-05 06:33:17|19.33|oasth
2023-10-05 17:50:12|15.13|kylikeio
2023-10-07 16:27:58|5.13|pitsa-mpira-kafes
2023-10-09 09:34:58|2.13|diafora
2023-10-09 09:35:07|52.13|ekloges
2023-10-09 16:10:21|50.43|kafes
2023-10-09 16:10:36|866.43|september salary
2023-10-10 09:49:50|861.43|gyros-eklogon
2023-10-11 06:31:03|859.73|kafes
2023-10-11 06:31:08|858.23|pizza
2023-10-11 06:31:30|855.23|kafes-zefxidos
2023-10-13 06:41:01|851.73|kilikeio
2023-10-13 06:41:09|850.23|kafes
2023-10-16 11:14:55|844.23|tarantoula
2023-10-16 11:15:01|841.23|taxi
2023-10-16 11:15:10|835.73|funkys
2023-10-16 11:15:36|829.23|crats
2023-10-16 11:15:48|826.03|zezas
2023-10-17 07:12:05|823.53|snitsel
2023-10-17 07:12:17|819.03|fate-skaste
2023-10-18 06:45:17|815.63|kilikeio
2023-10-18 06:45:29|800.63|allos tropos
2023-10-18 06:45:37|797.63|taxi
2023-10-19 06:50:53|795.93|kilikeio
2023-10-19 06:51:11|791.43|passas
2023-10-20 09:51:45|789.73|kilikeio
2023-10-20 09:52:01|785.23|katsamakas
2023-10-20 20:20:01|779.23|lidl
2023-10-20 20:20:46|777.53|kilikeio
2023-10-23 07:05:58|770.53|taxi
2023-10-23 07:06:06|761.53|ktel
2023-10-23 07:06:16|754.53|salamandra
2023-10-23 07:06:37|752.53|kafes
2023-10-23 07:06:54|749.53|pizza
2023-10-23 18:13:49|729.53|Florence's gift
2023-10-27 06:29:18|709.53|gasoline
2023-10-27 06:29:31|703.53|noitsis
2023-10-27 06:30:20|698.53|feyrouz
2023-10-27 06:30:41|695.53|en mikrw
2023-10-27 06:38:37|687.53|kafedes
2023-10-27 06:38:45|684.53|diafora
2023-10-29 12:23:31|534.53|efka
2023-10-31 07:41:25|531.53|frida
2023-10-31 07:41:35|527.53|kafedes sk
2023-11-07 17:10:34|513.53|karta oasth
2023-11-07 17:12:40|485.53|room_athens
2023-11-07 17:12:55|465.53|tickets 1 athens
2023-11-07 17:13:31|462.53|peach
2023-11-07 17:14:39|456.53|kilikeio
2023-11-07 17:16:03|453.53|kilikeio
2023-11-07 17:17:12|451.53|bald
2023-11-10 07:54:19|431.53|tickets2_athens
2023-11-10 07:55:08|419.03|zwzw
2023-11-10 07:55:20|417.23|kilikeio-eketa
2023-11-10 07:55:56|1617.23|october salary
2023-11-10 07:58:38|1602.23|panos-daneika-agyrista
2023-11-10 08:01:13|1593.23|diafora
2023-11-13 08:14:56|1532.73|athens_life
2023-11-13 08:19:03|1529.73|anemoessa
2023-11-14 08:13:20|1528.03|kilikeio
2023-11-14 21:51:17|1524.03|coffee berry
2023-11-14 21:55:03|1510.03|diafora
2023-11-20 07:43:50|1507.03|bulldogs
2023-11-20 07:44:05|1505.03|island
2023-11-20 07:44:18|1485.03|friteza
2023-11-20 07:44:31|1482.53|pizza
2023-11-20 07:44:38|1480.53|join
2023-11-22 08:03:10|1477.53|kilikeio
2023-11-22 08:03:18|1474.53|17
2023-11-22 08:03:26|1472.03|bombolo
2023-11-22 08:03:33|1470.33|kilikeio
2023-11-24 08:09:17|1467.13|kafes-pitakia
2023-11-24 08:15:22|1461.43|island-kilikeio
